"","Nis","79","SCRIBA","",,"","","",,,"BoHa XIX: Taf.6","BoHa XIX: 127","BoHa XIX: Taf. 6","4","","","","",""
"Awanami","Nis","80","AURIGA","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.6","BoHa XIX: 127","BoHa XIX: Taf. 6","1","","","","",""
"a-wa/i-VITA+RA/I","Nis","81","SCRIBA","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.6","BoHa XIX: 127","BoHa XIX: Taf. 6","1","","","","",""
"Azatarhunta","Nis","82","BONUS2 SCRIBA","","BoHa XIX: 251","642","a-zi/a-TONITRUS","",,,"BoHa XIX: Taf.6","BoHa XIX: 127","BoHa XIX: Taf. 6","7","","","EUNUCHUS2","",""
"","Nis","83","SCRIBA","",,"","","",,,"BoHa XIX: Taf.6","BoHa XIX: 127","BoHa XIX: Taf. 6","7","","","EUNUCHUS2","",""
"","Nis","85","EUNUCHUS2","",,"","","",,,"BoHa XIX: Taf.7","BoHa XIX: 128","BoHa XIX: Taf. 7","7","","","","",""
"","Nis","86","EUNUCHUS2","",,"","","",,,"BoHa XIX: Taf.7","BoHa XIX: 128","BoHa XIX: Taf. 7","7","","","","",""
"","Nis","87","URCEUS","",,"","","",,,"BoHa XIX: Taf.7","BoHa XIX: 128","BoHa XIX: Taf. 7","7","","","","",""
"","SBo II","146","EUNUCHUS2","",,"","","",,,"SBo II: p.73","SBo II p. 26,41","SBo II. Taf. IV","7","","","BONUS.EUNUCHUS","",""
"","SBo II","147","EUNUCHUS2","",,"","","",,,"SBo II: p.73","SBo II p. 26,41","SBo II. Taf. IV","7","","","BONUS.EUNUCHUS","",""
"Azatarhunta (?)","Nis","84","SCRIBA","","","642","","",,,"BoHa XIX: Taf.7","BoHa XIX: 127","BoHa XIX: Taf. 7","1","","","EUNUCHUS2","",""
"a-zi/a+ra/i-su","Nis","89","REX.FILIUS","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.7","BoHa XIX: 128","BoHa XIX: Taf. 7","1","","","","",""
"a-zi/a-x","Nis","88","","","","642","","",,,"","BoHa XIX: 128","BoHa XIX: Taf. 6","1","","","","",""
"Azuha","Nis","90","BONUS2 SCRIBA","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.7","BoHa XIX: 128","BoHa XIX: Taf. 7","1","","","","",""
"a-*507-na","Nis","91","REX.FILIUS","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.7","BoHa XIX: 128","BoHa XIX: Taf. 7","3","","","MAGNUS.VIR.SUPER","",""
"","Nis","92","REX.FILIUS","",,"","","",,,"BoHa XIX: Taf.7","BoHa XIX: 129","BoHa XIX: Taf. 7","3","","","","",""
"","Nis","93","REX.FILIUS","",,"","","",,,"BoHa XIX: Taf.7","BoHa XIX: 129","BoHa XIX: Taf. 7","3","","","","",""
"a-*507-na-ni","Nis","94","REX.FILIUS","","","642","","",,,"BoHa XIX: Taf.7","BoHa XIX: 129","BoHa XIX: Taf. 7","1","","","","",""
"a-[...]","Nis","95","SCRIBA-la","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.7","BoHa XIX: 129","BoHa XIX: Taf. 7","2","","","","",""
"","Nis","96","","",,"","","",,,"","BoHa XIX: 129","BoHa XIX: Taf. 7","2","","","","",""
"Ehli-Šarruma","Nis","97","REX TONTIRUS.PURUS.SOLIUM","","BoHa XIX: 252","642","","",,,"BoHa XIX: Taf.8","BoHa XIX: 130","BoHa XIX: Taf. 8","6","","","","",""
"","Nis","99","REX.F[ILIUS]","","BoHa XIX: 252","","","",,,"BoHa XIX: Taf.8","BoHa XIX: 130","BoHa XIX: Taf. 8","6","","","","",""
"","Nis","100","REX.FILIUS","","BoHa XIX: 252","","","",,,"BoHa XIX: Taf.8","BoHa XIX: 130","","6","","","MAGNUS.DOMUS.FILIUS","",""
"","Nis","101","REX.FILIUS","",,"","","",,,"BoHa XIX: Taf.8","BoHa XIX: 129",,"6","","","MAGNUS/DOMUS/FILIUS","",""
"","Nis","102","REX.FILIUS","",,"","","",,,"BoHa XIX: Taf.8","BoHa XIX: 130",,"6","","","MAGNUS.DOMUS.FILIUS","",""
"","SBo II","18","REX.[FILIUS]","",,"","","",,,"","SBo II, p. 11,23,46",,"6","","","[MAGNUS].DOMUS.FILIUS","",""
"",,,,,,"","","",,,"SBo II: p.66",,,,,,,,
"Ehli-Šarruma (?)","Nis","103","REX.FILIUS","","","642","","",,,"","BoHa XIX: 130-131",,"1","","","","",""
"Ehli-Teššup","Nis","104","BONUS2 SACERDOS2","","BoHa XIX: 252","642","","",,,"BoHa XIX: Taf.8","BoHa XIX: 131",,"1","","","","",""
"Hahlataruppasani(?)","Nis","105","AURIGA","","BoHa XIX: 253","642","","",,,"BoHa XIX: Taf.8","BoHa XIX: 131",,"3","","","","",""
"","Nis","106","BONUS2 AURIGA","",,"","","",,,"BoHa XIX: Taf.8","BoHa XIX: 131",,"3","","","","",""
"","Nis","107","BONUS2 AURIGA","",,"","","",,,"",,,"3","","","","",""
"Halparuntiya","Nis","108","BONUS2 SCRIBA-la","","BoHa XIX: 253","642","","",,,"BoHa XIX: Taf.8","BoHa XIX: 131-132",,"3","","","BONUS2 MAGNUS.VIR","",""
"","Nis","109","SCRIBA-la","",,"","","",,,"BoHa XIX: Taf.8","BoHa XIX: 132",,"3","","","","",""
"","Nis","110","SCRIBA","",,"","","",,,"BoHa XIX: Taf.8","BoHa XIX: 132",,"3","","","","",""
"",,,,,,"","","",,,"BoHa XIX: Taf.10",,,,,,,,
